TITLE: Bill of Materials						
DATE: 05/08/2016						
DESIGN: top						
TEMPLATE: D:\HwProj\IAW_SMU3_XX\protoC2\board\generic\sch\bin\top\bom\templ_testing_v2.bom						
CALLOUT: 						
						
Ref Des	DBTPRO_NUMBER	DEVICE_LABEL	VALUE	PINCOUNT	P_PATH	JEDEC_TYPE
D3	NL.0107985.A	ZZ_.24V_..200W_..PESD1CAN	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i478@discrete.pesd1can(chips)	DSOTC23T_RW
D4	ND.0023585.A	D_S_...1V_0,25A_....BAV70	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i39@discrete.bav70(chips)	DSOD23T_RW
D5	ND.0023585.A	D_S_...1V_0,25A_....BAV70	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i296@discrete.bav70(chips)	DSOD23T_RW
D6	ND.0099232.A	D_S_1,25V_0,14A_...BAV199	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i61@discrete.bav199(chips)	DSOTC23T_RW
D7	ND.0023545.A	D_S_0,33V_0,1A_...SHOTTKY	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i3@discrete.bar43c(chips)	DSOD23T_RW
D8	ND.0023586.A	D_S_...1V_0,21A_....BAV99	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i497@discrete.bav99(chips)	DSOD23T_RW
D9	ND.0023586.A	D_S_...1V_0,21A_....BAV99	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i444@discrete.bav99(chips)	DSOD23T_RW
DZ1	NZ.0030696.A	Z_S_..18V_.0,3W_....BZX84	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i237@discrete.bzx84c18(chips)	DSODB23T_RW
DZ2	NL.0030226.A	ZZ_S_.27V_1500W_..TRANSIL	?	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i240@discrete.sm15t27a(chips)	DDO214ABT_RW
DZ3	NL.0030203.A	ZZ_S_.30V_.600W_TRANSIL.U	?	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i255@discrete.sm6t30a(chips)	DDO214AAT_RW
DZ4	NZ.0030684.A	Z_S_.5,1V_.0,3W_....BZX84	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i261@discrete.bzx84c5v1(chips)	DSODB23T_RW
DZ5	NZ.0030696.A	Z_S_..18V_.0,3W_....BZX84	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i319@discrete.bzx84c18(chips)	DSODB23T_RW
JR1	NR.0029295.A	ST_ROC_......._......_...	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i55@standard_mm.resistor(chips)	R1206T_RW
JR2	NR.0029784.A	ST_ROC_......._......_...	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i218@standard_mm.resistor(chips)	R0603T_RW
JR3	NR.0101020.A	ST_ROC_...._JUMPER_RC0402	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i89@standard_mm.resistor(chips)	R0402T_RW
JR4	NR.0101020.A	ST_ROC_...._JUMPER_RC0402	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i265@standard_mm.jresistor(chips)	R0402T_RW
NTC1	NM.0030168.A	TH_NTC_............NTC10K	?	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i277@miscellaneous.ntc10k(chips)	R0805T_RW
P3	MC.0119030.A	CT_M_DR_.10AU2A_1,27_NN_N	?	10	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i128@connector.conn10_ftsh_105(chips)	PM2010VS181_R
P1	PM.0150911.A	CT_M_DR_.32AU2A_1,27_NN_N	?	32	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i128@connector.conn10_ftsh_105(chips)	PM2010VS181_R
Q1	NG.0112384.A	U_SB_LIR_.......BTS3800SL	?	5	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page1_i38@linear.bts3800sl(chips)	USCT595T_RW
Q10	NT.0118130.A	Q_XB_.PNP_0,25W_PDTA123ET	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i233@discrete.pdta123et(chips)	QSOTD23T_RW
Q11	NF.0144203.A	Q_XC_..PM_..3W...SQ2389ES	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i257@discrete.sq2389es(chips)	QSOTD23T_RW
Q2	NF.0148347.A	Q_XB_..PM_.3,8W_NVMFS5113	?	5	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i331@discrete.nvmfs5113pl(chips)	QPPSO8T_RW
Q3	NF.0121305.A	Q_XB_..PM_..10W_NVTFS5116	?	8	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i308@discrete.nvtfs5116pl(chips)	QWDFN8_33X33T_RW
Q4	NT.0030449.A	Q_XC_.NPN_0,22W_.BC817-16	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i61@discrete.bc817_16(chips)	QSOT23T_RW
Q5	NF.0025940.A	Q_XB_..NM_6,25W_VNS3NV04D	?	8	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i50@discrete.vns3nv04d(chips)	USO8T_RW
Q6	NG.0076734.A	TN_SB_NPN_BCR108S/UMH10N	?	6	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i63@linear.pumh10(chips)	USOT363T_RW
Q7	NG.0154583.A	U_XB_INT_......VN7140AS-E	?	8	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i189@linear.vn7140as_e(chips)	USO8T_RW
Q8	NT.0084156.A	Q_XB_..NM_..35W_.VNN7NV04	?	4	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i146@discrete.vnn7nv04(chips)	QSOTB223T_RW
Q9	NF.0025987.A	Q_XC_..NM_0,36W_...MOSFET	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i276@discrete.bss138(chips)	QSOTB23T_RW
R1	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page1_i8@standard_mm.resistor(chips)	R0402T_RW
R10	NR.0107448.A	R_CEC_100...KO_+-0.5k1/16W	100k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i311@standard_mm.resistor(chips)	R0402T_RW
R100	NR.0113551.A	R_CEC_..1...KO_+-0.005k_1/2W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i321@standard_mm.resistor(chips)	R1206T_RW
R101	NR.0112023.A	R_CEC_..2,7.KO_+-0.01_1/4W	2.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i38@standard_mm.resistor(chips)	R0805T_RW
R102	NR.0103905.A	R_CEC_499...KO_+-0.499k_0,1W	499k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i204@standard_mm.resistor(chips)	R0603T_RW
R1021	NR.0112047.A	R_CEC_..1...KO_+-0.001k_1/4W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i12@standard_mm.resistor(chips)	R0805T_RW
R1023	NR.0112047.A	R_CEC_..1...KO_+-0.001k_1/4W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i20@standard_mm.resistor(chips)	R0805T_RW
R103	NR.0029787.A	R_CEC_..1...MO_+-0.005MEG1/16W	1MEG	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i201@standard_mm.resistor(chips)	R0603T_RW
R104	NR.0140692.A	R_CEC_.560..OH_+-0.56_1/5W	560	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i200@standard_mm.resistor(chips)	R0603T_RW
R105	NR.0103905.A	R_CEC_499...KO_+-0.499k_0,1W	499k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i235@standard_mm.resistor(chips)	R0603T_RW
R106	NR.0029763.A	R_CEC_..10..KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i213@standard_mm.resistor(chips)	R0603T_RW
R107	NR.0112042.A	R_CEC_..3,3.KO_+-0.015_1/4W	3.3k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i9@standard_mm.resistor(chips)	R0805T_RW
R108	NR.0112042.A	R_CEC_..3,3.KO_+-0.015_1/4W	3.3k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i234@standard_mm.resistor(chips)	R0805T_RW
R109	NR.0111750.A	R_CEC_100...OH_+-0.51/16W	100	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i12@standard_mm.resistor(chips)	R0402T_RW
R11	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i487@standard_mm.resistor(chips)	R0402T_RW
R110	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i577@standard_mm.resistor(chips)	R0402T_RW
R111	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i575@standard_mm.resistor(chips)	R0402T_RW
R112	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i576@standard_mm.resistor(chips)	R0402T_RW
R113	NR.0029763.A	R_CEC_..10..KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i320@standard_mm.resistor(chips)	R0603T_RW
R114	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i572@standard_mm.resistor(chips)	R0402T_RW
R115	NR.0029912.A	R_CEC_..150K..+-1.5k...63MW	150k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i16@standard_mm.resistor(chips)	R0603T_RW
R116	NR.0029784.A	ST_ROC_......._......_...	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i41@standard_mm.resistor(chips)	R0603T_RW
R117	NR.0120871.A	R_CEC_510...OH_+-2.55_1/2W	510	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i54@standard_mm.resistor(chips)	R1206T_RW
R118	NR.0101020.A	ST_ROC_...._JUMPER_RC0402	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i90@standard_mm.resistor(chips)	R0402T_RW
R119	NR.0101020.A	ST_ROC_...._JUMPER_RC0402	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i94@standard_mm.resistor(chips)	R0402T_RW
R12	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i489@standard_mm.resistor(chips)	R0402T_RW
R120	NR.0111750.A	R_CEC_100...OH_+-0.51/16W	100	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i321@standard_mm.resistor(chips)	R0402T_RW
R121	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i62@standard_mm.resistor(chips)	R0402T_RW
R122	NR.0107450.A	R_CEC_..4,7.KO_+-0.021/16W	4.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i52@standard_mm.resistor(chips)	R0402T_RW
R123	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i509@standard_mm.resistor(chips)	R0402T_RW
R124	NR.0107450.A	R_CEC_..4,7.KO_+-0.021/16W	4.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i33@standard_mm.resistor(chips)	R0402T_RW
R125	NR.0107450.A	R_CEC_..4,7.KO_+-0.021/16W	4.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i41@standard_mm.resistor(chips)	R0402T_RW
R126	NR.0112047.A	R_CEC_..1...KO_+-0.001k_1/4W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i55@standard_mm.resistor(chips)	R0805T_RW
R127	NR.0101020.A	ST_ROC_...._JUMPER_RC0402	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i93@standard_mm.resistor(chips)	R0402T_RW
R128	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i518@standard_mm.resistor(chips)	R0402T_RW
R129	NR.0101020.A	ST_ROC_...._JUMPER_RC0402	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i84@standard_mm.resistor(chips)	R0402T_RW
R13	NR.0101020.A	ST_ROC_...._JUMPER_RC0402	0.05	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page1_i97@standard_mm.resistor(chips)	R0402T_RW
R130	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i507@standard_mm.resistor(chips)	R0402T_RW
R131	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i80@standard_mm.resistor(chips)	R0402T_RW
R132	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i82@standard_mm.resistor(chips)	R0402T_RW
R133	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i92@standard_mm.resistor(chips)	R0402T_RW
R134	NR.0107450.A	R_CEC_..4,7.KO_+-0.021/16W	4.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i73@standard_mm.resistor(chips)	R0402T_RW
R135	NR.0107450.A	R_CEC_..4,7.KO_+-0.021/16W	4.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i74@standard_mm.resistor(chips)	R0402T_RW
R136	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i253@standard_mm.resistor(chips)	R0402T_RW
R137	NR.0119451.A	R_CEC_.30...KO_+-0.15k1/16W	30k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i259@standard_mm.resistor(chips)	R0402T_RW
R138	NR.0107450.A	R_CEC_..4,7.KO_+-0.021/16W	4.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i192@standard_mm.resistor(chips)	R0402T_RW
R14	NR.0110021.A	R_CEC_..2,7.KO_+-0.011/16W	2.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i482@standard_mm.resistor(chips)	R0402T_RW
R15	NR.0107449.A	R_CEC_.27...KO_+-0.135k1/16W	27k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i480@standard_mm.resistor(chips)	R0402T_RW
R16	NR.0107448.A	R_CEC_100...KO_+-0.5k1/16W	100k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i475@standard_mm.resistor(chips)	R0402T_RW
R17	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i481@standard_mm.resistor(chips)	R0402T_RW
R171	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i472@standard_mm.resistor(chips)	R0402T_RW
R175	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i10@standard_mm.resistor(chips)	R0402T_RW
R176	NR.0029770.A	R_CEC_.47...KO_+-0.235k1/16W	47k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i485@standard_mm.resistor(chips)	R0603T_RW
R178	NR.0110021.A	R_CEC_..2,7.KO_+-0.011/16W	2.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i492@standard_mm.resistor(chips)	R0402T_RW
R18	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i175@bin.communication(sch_1):page1_i138@standard_mm.resistor(chips)	R0402T_RW
R181	NR.0113550.A	R_CEC_.3,9..KO_+-0.0031/16W	3.9k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i493@standard_mm.resistor(chips)	R0402T_RW
R183	NR.0110517.A	R_CEC_.10...KO_+-0.01k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i496@standard_mm.resistor(chips)	R0402T_RW
R19	NR.0107450.A	R_CEC_..4,7.KO_+-0.021/16W	4.7k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i175@bin.communication(sch_1):page1_i146@standard_mm.resistor(chips)	R0402T_RW
R2	NR.0029763.A	R_CEC_..10..KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i275@standard_mm.resistor(chips)	R0603T_RW
R20	NR.0029407.A	R_CEC_.39...KO_+-0.195k_1/4W	39k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i479@standard_mm.resistor(chips)	R1206T_RW
R203	NR.0115351.A	R_CEC_330...OH_+-1.65_1/2W	330	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i483@standard_mm.resistor(chips)	R1206T_RW
R21	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i51@standard_mm.resistor(chips)	R0402T_RW
R22	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i44@standard_mm.resistor(chips)	R0402T_RW
R23	NR.0029912.A	R_CEC_..150K..+-1.5k...63MW	150k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i48@standard_mm.resistor(chips)	R0603T_RW
R24	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i63@standard_mm.resistor(chips)	R0402T_RW
R25	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i56@standard_mm.resistor(chips)	R0402T_RW
R26	NR.0029912.A	R_CEC_..150K..+-1.5k...63MW	150k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i53@standard_mm.resistor(chips)	R0603T_RW
R27	NR.0029309.A	R_CEC_.10...OH_+-0.05_1/4W	10	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i50@standard_mm.resistor(chips)	R1206T_RW
R28	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i64@standard_mm.resistor(chips)	R0402T_RW
R29	NR.0028521.A	R_CEC_..8,25KO_+-0.008_0,1W	8.25k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i495@standard_mm.resistor(chips)	R0805T_RW
R290	NR.0029770.A	R_CEC_.47...KO_+-0.235k1/16W	47k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i6@standard_mm.resistor(chips)	R0603T_RW
R294	NR.0029770.A	R_CEC_.47...KO_+-0.235k1/16W	47k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i48@standard_mm.resistor(chips)	R0603T_RW
R3	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page1_i9@standard_mm.resistor(chips)	R0402T_RW
R30	NR.0029770.A	R_CEC_.47...KO_+-0.235k1/16W	47k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i428@standard_mm.resistor(chips)	R0603T_RW
R31	NR.0100870.A	R_CEC_.10...KO_+-0.05k1/16W	10k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i509@standard_mm.resistor(chips)	R0402T_RW
R32	NR.0107448.A	R_CEC_100...KO_+-0.5k1/16W	100k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i431@standard_mm.resistor(chips)	R0402T_RW
R33	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i57@standard_mm.resistor(chips)	R0402T_RW
R34	NR.0107451.A	R_CEC_..1...KO_+-0.005k1/16W	1k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i507@standard_mm.resistor(chips)	R0402T_RW
R35	NR.0028521.A	R_CEC_..8,25KO_+-0.008_0,1W	8.25k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i438@standard_mm.resistor(chips)	R0805T_RW
R36	NR.0104564.A	R_CEC_..2,2.KO_+-0.011/16W	2.2k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i496@standard_mm.resistor(chips)	R0402T_RW
R37	NR.0104564.A	R_CEC_..2,2.KO_+-0.011/16W	2.2k	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i446@standard_mm.resistor(chips)	R0402T_RW
